Link,Summary
https://www.upes.ac.in/faculty/school-of-law/saksham-pradyot,"Saksham Pradyot is an Assistant Professor at the School of Law, UPES, holding an Integrated BBA LL.B. and an LL.M. in Constitutional & Administrative Laws. Saksham is a PhD scholar focusing on Media Laws and serves on various committees, including the Alumni Mentorship Committee. With seven years of legal practice experience in Uttarakhand, Saksham teaches subjects like the Code of Civil Procedure and Drafting of Writs. Research interests include Media Laws and Constitutional Philosophy. Saksham has published articles in national and international journals and has received awards in Taekwondo and moot court competitions. Contact Saksham at saksham.pradyot@ddn.upes.ac.in."
https://www.upes.ac.in/school-of-business/bba/events-public-relations-and-corporate-communications-media-management-marketing-campaigns-and-strategic-communications,"The BBA in Events, Public Relations, and Corporate Communications program at UPES focuses on social media, marketing, and analytics, addressing the growing demand for skilled professionals in the communications industry. The curriculum includes strategic media planning and marketing campaign development, preparing students for careers in PR, event management, and corporate communications. Graduates can pursue roles such as social media manager and marketing analyst, with job opportunities at top firms like Times of India and NDTV. Eligible candidates must have 50% in 10th and 12th grade, and admission is based on Entrance Exam results."
https://www.upes.ac.in/faculty/school-of-advanced-engineering/mechanical/dr-ashish-karn,"Dr. Ashish Karn is a Senior Associate Professor at the School of Advanced Engineering, UPES, specializing in Indian Knowledge Systems. Dr. Ashish Karn earned his degrees from IIT Delhi and the University of Minnesota, USA. Research interests encompass Experimental Fluid Dynamics, Aerodynamics, Multiphase Flows, and Small Hydro Power. Dr. Ashish Karn promotes active learning through dynamic teaching methods and develops custom computational tools. Courses taught include Fluid Mechanics and Data Science. Dr. Ashish Karn has received multiple awards, including the Early Career Research Award from India’s Science and Engineering Research Board and grants for researching Indian Knowledge Systems."
https://www.upes.ac.in/hill/hesco,"HIMALAYAN ENVIRONMENTAL STUDIES AND CONSERVATION ORGANIZATION (HESCO) focuses on rural development by addressing the economic and developmental needs of villages. HESCO encourages local resource utilization to foster self-reliance and provides solutions tailored to community challenges. HESCO’s initiatives are rooted in rural inspiration, aiming to uplift the local population and enhance sustainability. For inquiries about admission, programs, and services, interested parties can contact the HESCO helpline or email provided. HESCO is affiliated with the University of Petroleum and Energy Studies (UPES), which offers various undergraduate and postgraduate programs across multiple disciplines."
https://www.upes.ac.in/blog/advanced-engineering/the-importance-of-clean-energy-technologies,"The webpage discusses the significance of pursuing a B.Tech in Clean Energy Technologies at the University of Petroleum and Energy Studies (UPES). This program equips graduates with knowledge in solar thermal engineering, advanced material physics, and solar power technology, addressing the urgent need for renewable energy in India, aimed at achieving a target of 175 GW of renewable capacity by 2022. Clean energy technologies, including wind and solar power, contribute significantly to sustainability while reducing greenhouse gas emissions. Graduates can pursue careers as Solar Energy Specialists, Renewable Energy Analysts, or Project Engineers, benefiting from a growing job market in the clean energy sector."
https://www.upes.ac.in/faculty/school-of-computer-science/bikram-pratim-bhuyan,"Bikram Pratim Bhuyan is an Assistant Professor at UPES, Dehradun, India, holding an M.Tech in Information Technology from Tezpur University. With over 10 years of experience in academia and industry, Bikram specializes in Neuro-Symbolic Artificial Intelligence, Knowledge Representation, and Machine Learning. Bikram is currently pursuing a PhD at Paris-Saclay University. Bikram teaches diverse computer science subjects and emphasizes critical thinking and independence in learners. Bikram has received multiple awards, including the Anundoram Borooah Award and the France Doctoral Scholarship. Bikram is actively involved in research, with over 20 publications and memberships in professional organizations."
https://www.upes.ac.in/faculty/school-of-advanced-engineering/energy/leena-kapoor,"Dr. Leena Kapoor is an Associate Professor at UPES in the School of Advanced Engineering, specializing in biomass conversion technologies for producing green fuels. With a PhD in Chemical Engineering, Dr. Leena has contributed to high-impact research in biomass pyrolysis and biofuel upgradation, publishing extensively in prestigious journals. Dr. Leena emphasizes collaborative learning in teaching core and elective Chemical Engineering courses, while leading research projects including UGC DAE CSR initiatives focused on nanocomposite catalysts. Dr. Leena received the Dedicated Service Award and Best Presenter Award at UPES for teaching and research contributions. Contact: lkapoor@ddn.upes.ac.in."
https://www.upes.ac.in/sustainable-development-goals/01,"Sustainable Development Goal 1, as outlined by UPES, focuses on eradicating extreme poverty globally by 2030. UPES aims to reduce poverty through scholarships, financial assistance, and support initiatives like Project Naman, which aids the families of martyred Indian soldiers, and Project Vikalp, which empowers rural women. UPES also promotes community anti-poverty programs, including sustainable business startups, educational support for economically disadvantaged students, and skill development for marginalized groups. The institution emphasizes the importance of equal access to resources and resilient systems to help achieve these objectives and supports over 20 families through its various initiatives."
https://www.upes.ac.in/faculty/school-of-business/preeti-aneja,"Preeti Aneja is an Assistant Professor at the School of Business, UPES, with a Masters in Communication and Management, and is pursuing a PhD. Since 2014, Preeti Aneja has focused on the impact of technology on learning, effective writing, public speaking, and social media communication. Preeti Aneja teaches courses like Business Communication and Digital Communication and promotes collaborative learning. Preeti Aneja also founded the student forum ‘EMCEE’ and is active in consultancy on writing and personal branding. Awards include UGC NET (2019), CTET (2011), and UPTET (2011). Contact: paneja@ddn.upes.ac.in."
https://www.upes.ac.in/faculty/school-of-advanced-engineering/applied-science/dr-aditya-sharma,"Dr. Aditya Sharma serves as an Associate Professor in the School of Advanced Engineering at UPES. Dr. Aditya Sharma specializes in X-ray Spectro-Nano-scopy and research in magnetic materials, catalysts, luminescent materials, and energy devices. Previously, Dr. Aditya Sharma was involved in post-doctoral research at Pohang Accelerator Laboratory and Korea Institute of Science and Technology, contributing significantly to condensed matter physics and nanotechnology. As an educator, Dr. Aditya Sharma focuses on fostering critical thinking and problem-solving in students. Dr. Aditya Sharma has published 65 articles and is an active member of the Materials Research Society of India."
https://www.upes.ac.in/blog/entrepreneurship/see-your-start-up-ideas-take-off-with-upes-school-of-business-and-runway-incubator,"UPES School of Business and Runway Incubator are hosting a start-up competition named ‘Take Off’, inviting aspiring entrepreneurs to submit original business ideas by May 16, 2022. Participants can win a cash prize of INR 2,50,000 for the winner and INR 1,00,000 for the runner-up. Finalists will pitch their ideas during a workshop on May 27 at India Habitat Centre, New Delhi. The competition includes categories like Digital Technologies, Urban Mobility, and Social Impact. UPES School of Business offers programs focused on entrepreneurship, preparing students for the evolving business landscape and fostering innovation in India's booming start-up ecosystem."
https://www.upes.ac.in/faculty/school-of-computer-science/shubhi-sharma,"Shubhi Sharma is an Assistant Professor (Selection Grade) at the School of Computer Science, UPES Dehradun, with over 9 years of teaching and industry experience. Shubhi Sharma holds an M.Tech in Computer Science and Engineering and focuses her research on medical imaging analysis, machine learning in healthcare, and deep learning for biomedical applications. Shubhi Sharma has published several research articles and has received awards for her thesis and innovation. Committed to an engaging teaching philosophy, Shubhi Sharma teaches a variety of courses, including Big Data Analytics and Deep Learning, while actively organizing seminars and hackathons."
https://www.upes.ac.in/blog/advanced-engineering/career-prospects-after-b-tech-in-space-technology,"Aditya Mukherjee explores career prospects for graduates with a B.Tech. in Space Technology, emphasizing the sector's vital role in fields such as disaster management, weather forecasting, and satellite communications. High demand for space professionals exists, particularly from institutions like ISRO and NASA. Key skills for success in space technology include analytical thinking, teamwork, mathematical proficiency, practical training, leadership, and emotional intelligence. The article highlights growing opportunities within startups and established companies, noting innovations such as those from SpaceX. Placements are plentiful, with top recruiters seeking skilled space technologists."
https://www.upes.ac.in/school-of-liberal-studies/ba/journalism-and-mass-communication-digital-data-analytics-visualisation,"The BA in Journalism and Mass Communication (Digital) - Data, Analytics & Visualization program at UPES School of Liberal Studies is a 3+1 years course designed for media industry careers. It combines theoretical knowledge with practical skills through industry expert engagement, focusing on data analytics and visualization. Students gain experience in digital storytelling, social media, and marketing strategies. Graduates can pursue roles such as Data Journalists and Social Media Strategists, with job opportunities in top media houses like Times of India. The program also prepares students for a data-centric media landscape, enhancing career prospects."
https://www.upes.ac.in/faculty/school-of-computer-science/dr-supreet-singh,"Dr. Supreet Singh is an Assistant Professor at the School of Computer Science, UPES, with expertise in optimization algorithms, soft computing, and wireless sensor networks. Dr. Supreet Singh earned a B.Tech from DAV Institute of Engineering and Technology in 2013, an M.Tech from Punjabi University in 2016, and a PhD from Thapar University in 2024. With over 30 publications, including 14 SCI-indexed articles, Dr. Supreet Singh has teaching experience and has served as a Research Associate at IIIT Delhi. Dr. Supreet Singh's research focuses on soft computing and machine learning, emphasizing an engaging, student-centered teaching philosophy. Contact: supreet.singh@ddn.upes.ac.in."
https://www.upes.ac.in/school-of-advanced-engineering/mtech/robotics-engineering,"The M.Tech. in Robotics Engineering at UPES School of Advanced Engineering is an interdisciplinary program designed to prepare students for careers in various robotics sectors including manufacturing, healthcare, and aerospace. The curriculum covers electronics, mechanical, and computer engineering, with focuses on autonomous systems, AI, and machine learning. Students gain hands-on experience in well-equipped labs and benefit from strong industry connections, leading to excellent placement opportunities. Graduates are equipped for roles in R&D, automation, and academia, addressing the growing demand for skilled robotics professionals. Eligibility includes a minimum of 60% marks in relevant undergraduate degrees and GATE/NET qualification preference."
https://www.upes.ac.in/admissions/btech,"UPES offers B.Tech. admissions for 2024, requiring a minimum of 50% marks in Class X and XII, with eligibility based on UPES's entrance exam, JEE, or other national tests. The four-year B.Tech. program includes diverse specializations such as aerospace, chemical, and computer science, focusing on engineering principles and practical skills. Higher placements include a highest CTC of 33 LPA. UPES ranks 42nd in the NIRF Engineering Category (2024). Admission closes on August 31, 2024, and detailed fee structures and scholarships are available on the university website."
https://www.upes.ac.in/faculty/school-of-computer-science/dr-ambika-aggarwal,"Dr. Ambika Aggarwal is an Assistant Professor (SG) at the School of Computer Science, UPES, with over 12 years of academic and research experience. She holds a B.Tech (Hons.) in Information Technology, an M.Tech in Information Security and Management, and a Ph.D. in Computer Science & Engineering focusing on Cloud Computing. Dr. Aggarwal has published multiple research papers, holds three patents, and is engaged in scholarly activities, teaching courses like operating systems and data security. Her research interests include Cloud Computing, Big Data Analytics, and Machine Learning, emphasizing an inclusive and dynamic learning environment."
https://www.upes.ac.in/event-details-icmlde,"The 2nd International Conference on Machine Learning and Data Engineering (ICMLDE 2023) invites researchers, academicians, and professionals to present original, unpublished research findings in the fields of machine learning and data engineering. The conference promotes the exchange of innovative solutions and research developments, featuring expert speeches and presentations to enhance knowledge in these domains. It aims to connect various sectors, fostering collaboration between academia and industry while addressing challenges in machine learning. Participants are encouraged to submit papers and engage in technical sessions for cross-disciplinary insights."
https://www.upes.ac.in/faculty/school-of-health-sciences-and-technology/gufran-ajmal,"Gufran Ajmal is an Assistant Professor at the School of Health Sciences and Technology at UPES. He holds a B. Pharm from Jamia Hamdard and an M. Pharm and Ph.D. in Pharmaceutics from IIT (BHU). Gufran Ajmal's research focuses on novel drug delivery systems, especially for wound healing and drug solubility enhancement. He has worked at various institutions before UPES and has published extensively in high-impact journals. Gufran Ajmal emphasizes a collaborative learning environment and has taught multiple subjects related to pharmacy. His scholarly contributions include several publications and authored books in pharmaceutical sciences. Contact: gufran.ajmal@ddn.upes.ac.in."
https://www.upes.ac.in/design-your-own-degree,"UPES offers a unique ""Design Your Own Degree"" program that allows students to customize their education to align with personal interests, skills, and career goals. The multidisciplinary university features eight specialized schools and a School for Life, providing diverse course combinations. Students can select core subjects, focused specializations, and minors from various disciplines, including engineering, law, health sciences, and design. Life Skills and Signature courses enhance professional development with topics like ethical leadership and digital transformation. Mandatory internships ensure practical experience, promoting well-rounded professionals equipped for the global workforce."
https://www.upes.ac.in/admissions,"UPES Admissions for 2024 are now open, offering over 60 programs across seven schools including Engineering, Business, Computer Science, Design, Health Sciences, Law, and Liberal Studies. UPES focuses on creating future leaders through comprehensive education. Prospective students can explore undergraduate, postgraduate, and doctoral programs, along with eligibility criteria, application deadlines, and scholarship options. Important events and student outcomes highlight the vibrant campus life at UPES. Interested applicants can apply online and access resources such as admissions alerts, FAQs, and brochures. For more information, UPES provides contact options for inquiries."
https://www.upes.ac.in/industry-connect/facebook-blueprint,"The University of Petroleum and Energy Studies (UPES) has partnered with Facebook Blueprint to provide students with practical skills in digital marketing, specifically in designing ad campaigns across Facebook, Instagram, and Messenger. This collaboration offers advanced-level courses that include strategic content and case studies, enabling students to enhance their expertise in Facebook digital marketing. The Facebook Blueprint program empowers learners globally to build businesses and engage with potential customers through effective digital strategies. This initiative aims to equip UPES students with relevant knowledge and skills for successful careers in the digital marketing field."
https://www.upes.ac.in/sitemap,"The UPES sitemap provides a structured overview of the various academic programs offered by UPES, including undergraduate, postgraduate, and doctoral degrees across multiple schools such as the School of Advanced Engineering, School of Business, School of Computer Science, School of Design, School of Health Sciences & Technology, School of Law, and School of Liberal Studies. It also includes links to admissions, campus life, placements, and research-related resources. Additionally, there are other sections like contact information, student support, and important events highlighted for prospective and current students."
https://www.upes.ac.in/faculty/school-of-computer-science/virender-kadyan,"Virender Kadyan is an Associate Professor at the School of Computer Science, UPES, recognized for expertise in automatic speech processing and emotion recognition. He has published extensively and holds 7 patents. Virender Kadyan has guided 1 PhD and 17 MTech scholars, and is currently supervising 5 PhD candidates. Previous positions include Assistant Professor at Chitkara University and Visiting Researcher at NDRI. Research interests cover Speech Recognition, Emotion Recognition, and Machine Learning. Virender Kadyan employs innovative teaching methods to empower students and has received multiple awards for contributions to assistive technologies. Contact Virender Kadyan at vkadyan@ddn.upes.ac.in."
https://www.upes.ac.in/vice-chancellor/dr-ram-k-sharma,"Dr. Ram K. Sharma serves as the Vice Chancellor of the University of Petroleum and Energy Studies (UPES). He joined UPES in February 2020 as Dean of Academics and became Pro Vice-Chancellor in February 2022. Dr. Sharma has significant experience in higher education, having worked in leadership roles at Plaksha University and Shiv Nadar University. He is a PhD holder in Experimental Physics and has expertise in academic transformation, research integration, and institutional development. Dr. Sharma promotes an open work environment based on empathy and trust, aiming to elevate UPES's academic standing and success."
https://www.upes.ac.in/school-of-business/mba,"The MBA program at UPES School of Business is a 2-year course designed for aspiring business leaders, covering subjects like finance, marketing, and operations management. It emphasizes experiential learning through real-world projects and internships. Eligibility requires a minimum of 50% marks in Class X, XII, and Graduation. Admissions consider scores from national tests like CAT, MAT, and GMAT. UPES offers specializations such as Oil and Gas Management, International Business, and Aviation Management, among others. The program boasts 100% placement for eligible students, with an average salary range of INR 6 to 20 lakhs per annum."
https://www.upes.ac.in/faculty/school-of-advanced-engineering/applied-science/santosh-dubey,"Professor Santosh Dubey is a faculty member at the School of Advanced Engineering, UPES, specialized in computational science, particularly in radiation-materials interactions. He holds an MS and PhD from Florida State University, focusing on mathematical modeling of material degradation in nuclear reactors. Professor Dubey has experience as a post-doctoral researcher at Purdue University and as a scientist at India's Institute for Plasma Research. His research interests include phase transformation in materials and applications in solar cells and microelectronics. Professor Dubey teaches various physics-related courses and emphasizes a student-centered teaching philosophy. He has received several awards, including the Adelaide-Wilson Doctoral Fellowship. For further inquiries, Professor Santosh Dubey can be contacted at santosh.dubey@ddn.upes.ac.in."
https://www.upes.ac.in/faculty-achievements/dr-roshni-sengupta,"Dr. Roshni Sengupta, a faculty member at the School of Liberal Studies, has notable achievements published on the UPES website. Dr. Roshni Sengupta has two forthcoming edited books with Routledge, including ""Palimpsests of Identity and Memory: Contemporary Perspectives on South Asian Diaspora Literature"" and the co-edited volume ""Narratives of Loss and Longing: Literary Developments in Postcolonial South Asia"" with Dr. Nukhbah Taj Langah, both set for publication in 2024. These works explore themes of migration, displacement, and postcolonial literature in South Asia."
https://www.upes.ac.in/faculty/school-of-liberal-studies/pulkit-jain,"Pulkit Jain is an Assistant Professor at the School of Liberal Studies, UPES, with expertise in public relations, advertising, news channel operations, and film production. Pulkit Jain has over 10 years of academic experience, previously serving at SGT University. Pulkit Jain's research interests focus on the film industry, particularly on scriptwriting and film business. Teaching philosophy emphasizes practice-based learning, incorporating real-world applications. Pulkit Jain teaches various courses, including filmmaking and brand management, and is currently pursuing a PhD in Mass Communication. Pulkit Jain actively participates in scholarly activities, presenting research at international conferences."
https://www.upes.ac.in/social-impact/project-protsaahan,"Project Protsaahan, initiated by UPES, aims to support meritorious underprivileged students from the PYDS Academy of Learning in Dehradun by providing financial assistance for higher education beyond Class XII. Each year, Project Protsaahan admits one boy and one girl who qualify for the UPES Entrance Examination, offering an annual cumulative scholarship of Rs. 20 lakh. This initiative addresses dropout rates due to financial constraints, helping deserving candidates pursue their academic goals."
https://www.upes.ac.in/school-of-business/bba/events-public-relations-and-corporate-communications-social-media-marketing-and-analytics,"The BBA in Events, Public Relations, and Corporate Communications with a specialization in Social Media, Marketing, and Analytics offered by UPES prepares students for careers in the communications industry. The program provides hands-on experience, industry internships, and access to state-of-the-art facilities. Graduates gain essential skills in social media management, digital marketing, event management, and data analysis. Career opportunities include roles such as social media manager, digital marketing specialist, and PR executive, with starting salaries ranging from INR 4 to 10 lakh per annum. Eligibility requires 50% in 10th and 12th grades, with admissions based on entrance exams."
https://www.upes.ac.in/student-projects/ashhar-ali-akshita-kapoor-ishita-nanda-samyukta-sahoo,"Ashhar Ali, Akshita Kapoor, Ishita Nanda, and Samyukta Sahoo developed a Money Management Application called Manage Your Money Easily (MYME) as part of their B.Tech. CSE studies at UPES. MYME enables users to efficiently track daily expenses, provides personalized expense breakdowns, and allows seamless money distribution among groups. Features include user-specific login/logout for personalized management and a user-friendly interface for easy financial tracking. The application aims to enhance users' financial management skills, helping prevent unnecessary expenses and manage cash flow effectively. The application is available for download on GitHub."
https://www.upes.ac.in/iqac/qs-outcome,"The QS Outcome webpage for the University of Petroleum and Energy Studies (UPES) presents the institution's rankings in the QS Asia University Rankings 2023 and QS South Asia University Rankings 2023, where UPES is ranked #243 and #49 respectively. The information highlights UPES's commitment to academic excellence and global recognition. The webpage provides essential links for admissions and student support, along with contact details for inquiries. Overall, the QS Outcome reflects UPES's achievements in higher education and its robust academic programs across various disciplines."
https://www.upes.ac.in/faculty/school-of-computer-science/dhirendra-kumar-sharma,"Dhirendra Kumar Sharma is an Associate Professor at UPES in the School of Computer Science, with a Ph.D. in Computer Science Engineering from IIT (ISM) completed in 2016. Dhirendra Kumar Sharma's research interests include protocol development for ad hoc networks, UAV communication, and Cyber Security. With over 10 years of teaching experience, Dhirendra Kumar Sharma focuses on activity and project-based learning in subjects like Computer Networks and Programming. Dhirendra Kumar Sharma holds three patents and has published numerous peer-reviewed papers in mobile networks and communications. Contact Dhirendra Kumar Sharma at dk.sharma@ddn.upes.ac.in."
https://www.upes.ac.in/professors-of-practice/gauhar-mirza,"Mr. Gauhar Mirza is a Partner in the Disputes Practice at the Delhi-NCR office of Cyril Amarchand Mangaldas. He specializes in technology law and arbitration, representing numerous corporations in domestic and international cases. Mr. Gauhar Mirza advises clients on complex disputes involving construction contracts, shareholder issues, licensing, IT law, and land acquisition. He frequently argues cases in various judicial forums, including the Hon’ble Supreme Court and High Courts across India. Mr. Gauhar Mirza is recognized for his expertise in arbitration and legal representation across a range of industry sectors."
https://www.upes.ac.in/blog/design/mdes-job-opportunities,"The webpage discusses career prospects after completing a Master of Design (M.Des.) degree from UPES. M.Des., a two-year postgraduate program, offers specializations such as product, interaction, and transportation design. The curriculum includes design principles, practical projects, and internships. Graduates can pursue various career paths, including Design Manager, Design Consultant, Design Educator, Design Entrepreneur, and UX Designer. The article highlights the importance of M.Des. in equipping individuals with essential skills and knowledge for a successful career in design, emphasizing the program's ability to prepare students for a dynamic job market."
https://www.upes.ac.in/campus-life,"The webpage provides an overview of campus life at the University of Petroleum and Energy Studies (UPES), highlighting a vibrant blend of academics and culture. Student support services ensure safety and well-being, fostering a positive learning environment. Key events include annual festivals such as Spandan and UKTI, showcasing cultural and literary celebrations. The serene campuses in Dehradun, Bidholi, and Kandoli, offer immersive learning experiences. Contact information for student welfare is provided, along with resources for prospective students. UPES emphasizes dynamic engagement through clubs and events, enhancing student living and campus experiences."
https://www.upes.ac.in/faculty-achievements/dr-anil-kumar,"Dr. Anil Kumar, affiliated with the School of Computer Science at UPES, received the Governor’s Award for Best Research 2021 from Hon'ble Governor of Uttarakhand, Lt. Gen. (Retd.) Gurmit Singh. This recognition was for Dr. Anil Kumar's research on ""Semantic segmentation of PoISAR image data using advanced deep learning model"". Dr. Anil Kumar is a distinguished educator, serves on the WInSAR Executive Committee, is a guest faculty member at IIRS, ISRO, and was the Lead Speaker at the NISAR Science Workshop in 2015. Dr. Anil Kumar also led projects at the Space Application Center, ISRO."
